Method_Topic,fiscal_year,duration_days_sum,duration_days_avg,award_amount_sum,award_amount_avg,num_projects
Health Services / Outcomes / Implementation,2011,162298.0,414.0255102040816,206213871.0,526055.793367347,392
Health Services / Outcomes / Implementation,2012,173727.0,425.8014705882353,199458538.0,488868.9656862745,408
Health Services / Outcomes / Implementation,2013,175815.0,456.6623376623377,200993950.0,522062.2077922078,385
Health Services / Outcomes / Implementation,2014,159198.0,410.3041237113402,218710590.0,563687.087628866,388
Health Services / Outcomes / Implementation,2015,172964.0,438.994923857868,225880024.0,573299.5532994923,394
Health Services / Outcomes / Implementation,2016,165129.0,420.17557251908397,222177997.0,565338.4147582697,393
Health Services / Outcomes / Implementation,2017,186040.0,419.009009009009,227337784.0,512022.03603603604,444
Health Services / Outcomes / Implementation,2018,212815.0,439.7004132231405,239967438.0,495800.4917355372,484
Health Services / Outcomes / Implementation,2019,190153.0,432.1659090909091,262449621.0,596476.4113636364,440
Health Services / Outcomes / Implementation,2020,218952.0,437.02994011976045,280284734.0,559450.5668662675,501
Health Services / Outcomes / Implementation,2021,202626.0,423.9037656903766,254294995.0,531997.8974895397,478
Health Services / Outcomes / Implementation,2022,222056.0,428.6795366795367,289900737.0,559653.9324324324,518
Health Services / Outcomes / Implementation,2023,239201.0,427.14464285714286,334375762.0,597099.575,560
Health Services / Outcomes / Implementation,2024,219089.0,396.90036231884056,322251640.0,583789.2028985508,552
Health Services / Outcomes / Implementation,2025,185055.0,372.3440643863179,311835656.0,627435.9275653923,497
Health Disparities / Social Determinants,2006,21401.0,455.3404255319149,23450102.0,498938.3404255319,47
Health Disparities / Social Determinants,2007,17411.0,362.7291666666667,22802664.0,475055.5,48
Health Disparities / Social Determinants,2008,26724.0,438.0983606557377,31606414.0,518137.9344262295,61
Health Disparities / Social Determinants,2009,32549.0,392.1566265060241,43915913.0,529107.3855421686,83
Health Disparities / Social Determinants,2010,35931.0,432.90361445783134,42266414.0,509233.9036144578,83
Health Disparities / Social Determinants,2011,30862.0,406.07894736842104,38791747.0,510417.7236842105,76
Health Disparities / Social Determinants,2012,33772.0,379.46067415730334,44885049.0,504326.393258427,89
Health Disparities / Social Determinants,2013,43144.0,454.14736842105265,45943769.0,483618.6210526316,95
Health Disparities / Social Determinants,2014,38538.0,418.89130434782606,52966558.0,575723.4565217391,92
Health Disparities / Social Determinants,2015,43416.0,461.8723404255319,55077255.0,585928.2446808511,94
Health Disparities / Social Determinants,2016,36442.0,414.1136363636364,49432029.0,561727.6022727273,88
Health Disparities / Social Determinants,2017,41428.0,394.55238095238093,55613559.0,529652.9428571429,105
Health Disparities / Social Determinants,2018,45786.0,431.9433962264151,75065694.0,708166.9245283019,106
Health Disparities / Social Determinants,2019,44815.0,389.69565217391306,78120098.0,679305.2,115
Health Disparities / Social Determinants,2020,61442.0,438.87142857142857,104427687.0,745912.05,140
Health Disparities / Social Determinants,2021,56665.0,453.32,93809943.0,750479.544,125
Health Disparities / Social Determinants,2022,66915.0,403.1024096385542,102983569.0,620382.9457831326,166
Health Disparities / Social Determinants,2023,77958.0,428.34065934065933,105874022.0,581725.3956043957,182
Health Disparities / Social Determinants,2024,75148.0,379.5353535353535,110670869.0,558943.7828282828,198
Health Disparities / Social Determinants,2025,59700.0,366.25766871165644,99067128.0,607773.7914110429,163
Behavioral / Social Science,2006,82224.0,395.3076923076923,88407233.0,425034.77403846156,208
Behavioral / Social Science,2007,92742.0,408.55506607929516,94813195.0,417679.2731277533,227
Behavioral / Social Science,2008,108633.0,448.89669421487605,97218810.0,401730.6198347107,242
Behavioral / Social Science,2009,124035.0,444.5698924731183,125231771.0,448859.39426523296,279
Behavioral / Social Science,2010,110775.0,441.33466135458167,144841925.0,577059.4621513945,251
Behavioral / Social Science,2011,92784.0,408.7400881057269,106568364.0,469464.1585903084,227
Behavioral / Social Science,2012,106155.0,429.7773279352227,99592209.0,403207.3238866397,247
Behavioral / Social Science,2013,92196.0,445.39130434782606,83194378.0,401905.2077294686,207
Behavioral / Social Science,2014,84036.0,435.419689119171,82988089.0,429990.0984455959,193
Behavioral / Social Science,2015,89121.0,445.605,84019553.0,420097.765,200
Behavioral / Social Science,2016,82229.0,419.5357142857143,92000334.0,469389.4591836735,196
Behavioral / Social Science,2017,90636.0,401.04424778761063,91998329.0,407072.2522123894,226
Behavioral / Social Science,2018,108885.0,448.08641975308643,113616602.0,467558.0329218107,243
Behavioral / Social Science,2019,95358.0,425.70535714285717,133365551.0,595381.9241071428,224
Behavioral / Social Science,2020,106461.0,445.44351464435147,130454760.0,545835.8158995815,239
Behavioral / Social Science,2021,97946.0,459.84037558685446,109458262.0,513888.55399061035,213
Behavioral / Social Science,2022,106561.0,434.9428571428571,125915959.0,513942.68979591836,245
Behavioral / Social Science,2023,107084.0,444.3319502074689,115314572.0,478483.7012448133,241
Behavioral / Social Science,2024,96857.0,400.23553719008265,124608639.0,514911.7314049587,242
Behavioral / Social Science,2025,72541.0,373.9226804123711,99893083.0,514912.7989690722,194
Stem Cells / Regenerative Medicine,2006,23113.0,405.49122807017545,21584138.0,378669.08771929826,57
Stem Cells / Regenerative Medicine,2007,25109.0,418.48333333333335,21192377.0,353206.2833333333,60
Stem Cells / Regenerative Medicine,2008,29151.0,393.93243243243245,25869127.0,349582.7972972973,74
Stem Cells / Regenerative Medicine,2009,36279.0,385.9468085106383,34489104.0,366905.3617021277,94
Stem Cells / Regenerative Medicine,2010,45804.0,458.04,35190471.0,351904.71,100
Stem Cells / Regenerative Medicine,2011,27039.0,375.5416666666667,25796256.0,358281.3333333333,72
Stem Cells / Regenerative Medicine,2012,39684.0,413.375,30557138.0,318303.5208333333,96
Stem Cells / Regenerative Medicine,2013,36653.0,431.21176470588233,26726882.0,314433.90588235296,85
Stem Cells / Regenerative Medicine,2014,37542.0,426.6136363636364,29954162.0,340388.20454545453,88
Stem Cells / Regenerative Medicine,2015,38117.0,409.86021505376345,32381490.0,348188.06451612903,93
Stem Cells / Regenerative Medicine,2016,41844.0,410.2352941176471,37062751.0,363360.3039215686,102
Stem Cells / Regenerative Medicine,2017,42685.0,406.5238095238095,37798250.0,359983.3333333333,105
Stem Cells / Regenerative Medicine,2018,49375.0,436.94690265486724,43990938.0,389300.33628318587,113
Stem Cells / Regenerative Medicine,2019,41057.0,410.57,40665098.0,406650.98,100
Stem Cells / Regenerative Medicine,2020,49387.0,404.8114754098361,51679674.0,423603.88524590165,122
Stem Cells / Regenerative Medicine,2021,56073.0,397.6808510638298,57818431.0,410059.7943262411,141
Stem Cells / Regenerative Medicine,2022,60753.0,405.02,62474138.0,416494.25333333336,150
Stem Cells / Regenerative Medicine,2023,60967.0,420.46206896551723,63776028.0,439834.67586206895,145
Stem Cells / Regenerative Medicine,2024,55471.0,393.4113475177305,64792282.0,459519.7304964539,141
Stem Cells / Regenerative Medicine,2025,43861.0,368.5798319327731,50881479.0,427575.4537815126,119
Education / Training / Workforce,2006,113169.0,388.89690721649487,95793426.0,329187.03092783503,291
Education / Training / Workforce,2007,119876.0,385.4533762057878,110722287.0,356020.2154340836,311
Education / Training / Workforce,2008,128720.0,398.5139318885449,111466655.0,345098.0030959752,323
Education / Training / Workforce,2009,143572.0,419.80116959064327,116052447.0,339334.6403508772,342
Education / Training / Workforce,2010,139140.0,421.6363636363636,144600676.0,438183.86666666664,330
Education / Training / Workforce,2011,123224.0,401.38110749185665,108663623.0,353953.1693811075,307
Education / Training / Workforce,2012,131665.0,419.31528662420385,103270292.0,328886.28025477706,314
Education / Training / Workforce,2013,116088.0,404.4878048780488,101927695.0,355148.7630662021,287
Education / Training / Workforce,2014,114001.0,393.10689655172416,114895235.0,396190.4655172414,290
Education / Training / Workforce,2015,115661.0,398.83103448275864,116415069.0,401431.2724137931,290
Education / Training / Workforce,2016,123982.0,383.8452012383901,111251051.0,344430.49845201237,323
Education / Training / Workforce,2017,136634.0,375.36813186813185,120782171.0,331819.1510989011,364
Education / Training / Workforce,2018,145031.0,385.72074468085106,129522550.0,344474.8670212766,376
Education / Training / Workforce,2019,136228.0,385.91501416430594,119065332.0,337295.55807365436,353
Education / Training / Workforce,2020,163369.0,414.6421319796954,143666278.0,364635.22335025383,394
Education / Training / Workforce,2021,143335.0,401.4985994397759,129064039.0,361523.918767507,357
Education / Training / Workforce,2022,158801.0,397.9974937343358,142156647.0,356282.32330827066,399
Education / Training / Workforce,2023,171791.0,410.00238663484487,148937679.0,355459.85441527446,419
Education / Training / Workforce,2024,153654.0,384.135,146935271.0,367338.1775,400
Education / Training / Workforce,2025,128522.0,367.2057142857143,135921077.0,388345.9342857143,350
Ethics / Policy,2006,56297.0,420.1268656716418,44375508.0,331160.50746268657,134
Ethics / Policy,2007,55232.0,406.11764705882354,45470847.0,334344.4632352941,136
Ethics / Policy,2008,59125.0,396.81208053691273,51173563.0,343446.73154362413,149
Ethics / Policy,2009,73060.0,401.42857142857144,82434973.0,452939.4120879121,182
Ethics / Policy,2010,91420.0,429.2018779342723,112118618.0,526378.4882629107,213
Ethics / Policy,2011,72769.0,413.46022727272725,78254393.0,444627.23295454547,176
Ethics / Policy,2012,79083.0,409.7564766839378,79361518.0,411199.57512953365,193
Ethics / Policy,2013,71406.0,394.50828729281767,90748885.0,501375.05524861877,181
Ethics / Policy,2014,73046.0,408.0782122905028,105867838.0,591440.43575419,179
Ethics / Policy,2015,81757.0,432.5767195767196,102215957.0,540825.1693121693,189
Ethics / Policy,2016,75035.0,399.1223404255319,91724919.0,487898.50531914894,188
Ethics / Policy,2017,83661.0,402.21634615384613,111080253.0,534039.6778846154,208
Ethics / Policy,2018,85839.0,403.0,106277864.0,498957.10798122064,213
Ethics / Policy,2019,88401.0,411.1674418604651,124170427.0,577536.8697674419,215
Ethics / Policy,2020,106827.0,425.60557768924303,135497027.0,539828.7928286853,251
Ethics / Policy,2021,100797.0,421.744769874477,124833341.0,522315.2343096234,239
Ethics / Policy,2022,102934.0,421.8606557377049,139815702.0,573015.1721311476,244
Ethics / Policy,2023,106318.0,426.97991967871485,139732542.0,561174.8674698796,249
Ethics / Policy,2024,86480.0,393.09090909090907,150494043.0,684063.8318181818,220
Ethics / Policy,2025,77875.0,378.0339805825243,141629434.0,687521.5242718447,206
Imaging (MRI/CT/PET/Microscopy),2006,94893.0,412.5782608695652,78797225.0,342596.6304347826,230
Imaging (MRI/CT/PET/Microscopy),2007,98452.0,396.98387096774195,91063464.0,367191.3870967742,248
Imaging (MRI/CT/PET/Microscopy),2008,111715.0,410.71691176470586,100238465.0,368523.76838235295,272
Imaging (MRI/CT/PET/Microscopy),2009,143206.0,431.3433734939759,120977471.0,364389.9728915663,332
Imaging (MRI/CT/PET/Microscopy),2010,135615.0,436.0610932475884,125583735.0,403806.2218649518,311
